Id,FirstName,LastName,Email,Source,Created,Summary,Phone,ApplicationTitle,ApplicationStatus,ApplicationType,ApplicationSource,ApplicationCreated,Shortlisted,AiQualification,LevelTitle,AutomatedScore,ManualScore
109,"Christopher","White","christopher_white_95@gmail.com","Manual Entry",2024-05-10 10:17:02,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",,"Software Developer","Applied","Job","Manual Entry","05/10/2024 10:17:02",False,3,Highly Qualified,9.33,0.00
108,"Christopher","White","christopher_white_93@gmail.com","Manual Entry",2024-05-10 10:17:02,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",,"Software Developer","Applied","Job","Manual Entry","05/10/2024 10:17:02",False,2,Qualified,7.33,0.00
107,"Christopher","White","christopher_white_90@gmail.com","Manual Entry",2024-05-10 10:16:59,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",,"Software Developer","Applied","Job","Manual Entry","05/10/2024 10:16:59",False,3,Highly Qualified,9.00,0.00
106,"Christopher","White","christopher_white_73@gmail.com","Manual Entry",2024-05-10 10:16:56,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",,"Software Developer","Applied","Job","Manual Entry","05/10/2024 10:16:56",False,3,Highly Qualified,9.17,0.00
105,"Christopher","White","christopher_white_69@gmail.com","Manual Entry",2024-05-10 10:16:53,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",,"Software Developer","Applied","Job","Manual Entry","05/10/2024 10:16:53",False,2,Qualified,7.33,0.00
104,"Christopher","White","christopher_white_98@gmail.com","Manual Entry",2024-05-10 10:16:53,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",,"Software Developer","Applied","Job","Manual Entry","05/10/2024 10:16:53",False,2,Qualified,7.67,0.00
103,"Christopher","White","christopher_white_91@gmail.com","Manual Entry",2024-05-10 10:16:53,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",,"Software Developer","Applied","Job","Manual Entry","05/10/2024 10:16:53",False,2,Qualified,7.33,0.00
102,"Christopher","White","christopher_white_87@gmail.com","Manual Entry",2024-05-10 10:16:53,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",,"Software Developer","Applied","Job","Manual Entry","05/10/2024 10:16:53",False,2,Qualified,7.67,0.00
101,"Christopher","White","christopher_white_83@gmail.com","Manual Entry",2024-05-10 10:16:49,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",,"Software Developer","Applied","Job","Manual Entry","05/10/2024 10:16:49",False,2,Qualified,6.77,0.00
100,"Christopher","White","christopher_white_82@gmail.com","Manual Entry",2024-05-10 10:16:46,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",,"Software Developer","Applied","Job","Manual Entry","05/10/2024 10:16:46",False,2,Qualified,6.77,0.00
99,"Christopher","White","christopher_white_79@gmail.com","Manual Entry",2024-05-10 10:16:44,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",,"Software Developer","Applied","Job","Manual Entry","05/10/2024 10:16:44",False,3,Highly Qualified,8.43,0.00
98,"Christopher","White","christopher_white_59@gmail.com","Manual Entry",2024-05-10 10:16:43,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",,"Software Developer","Applied","Job","Manual Entry","05/10/2024 10:16:43",False,2,Qualified,7.33,0.00
97,"Christopher","White","christopher_white_54@gmail.com","Manual Entry",2024-05-10 10:16:43,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",,"Software Developer","Applied","Job","Manual Entry","05/10/2024 10:16:43",False,2,Qualified,7.33,0.00
96,"Christopher","White","christopher_white_74@gmail.com","Manual Entry",2024-05-10 10:16:42,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",,"Software Developer","Applied","Job","Manual Entry","05/10/2024 10:16:42",False,2,Qualified,7.33,0.00
95,"Christopher","White","christopher_white_52@gmail.com","Manual Entry",2024-05-10 10:16:39,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",,"Software Developer","Applied","Job","Manual Entry","05/10/2024 10:16:39",False,2,Qualified,7.33,0.00
94,"Christopher","White","christopher_white_99@gmail.com","Manual Entry",2024-05-10 10:16:36,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",,"Software Developer","Applied","Job","Manual Entry","05/10/2024 10:16:36",False,2,Qualified,7.67,0.00
93,"Christopher","White","christopher_white_92@gmail.com","Manual Entry",2024-05-10 10:16:34,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",,"Software Developer","Applied","Job","Manual Entry","05/10/2024 10:16:34",False,2,Qualified,7.33,0.00
